timestamp,mission_id,drone_id,gps_lat,gps_lon,altitude_m,distance_to_base_m,velocity_x_ms,velocity_y_ms,velocity_z_ms,speed_ms,acceleration_ms2,heading_deg,ambient_temp_c,wind_speed_ms,wind_dir_deg,weather_condition,region_type,proximity_to_restricted_zone_m,mission_type,target_type,object_detected,detected_object_count,detection_confidence_avg,hover_duration_s,camera_active,recording_mode,battery_level_pct,power_consumption_w,flight_time_s,surveillance_pattern
2025-01-09 02:49:26,MIS-44937,DR-210,30.377327,120.293672,164.1,4498.5,-1.41,2.20,1.27,2.91,3.51,122.7,2.0,16.3,278.5,多云,城市核心区,66.0,大型活动安保,水域,1,1,0.636,237.0,1,抓拍,61.6,142.9,3025.9,扫描
2025-06-17 15:13:52,MIS-89810,DR-754,30.237184,120.264202,139.8,3185.9,7.70,1.16,-1.79,7.99,3.42,8.6,22.4,12.0,320.4,晴,近郊区,6684.7,环境监测,植被,1,5,0.883,146.1,1,抓拍,40.3,186.9,319.4,悬停
2025-10-25 10:01:12,MIS-86834,DR-190,30.374222,120.063582,360.5,7980.4,-7.83,5.27,0.24,9.44,1.44,146.1,16.3,13.8,259.3,雾,商业区,9806.7,交通监测,植被,1,14,0.617,58.0,1,抓拍,71.6,384.1,2305.3,巡逻
2025-10-03 16:22:45,MIS-21637,DR-184,30.194940,119.903853,223.6,587.9,-2.51,-2.80,-1.43,4.02,4.93,228.1,6.3,8.5,270.3,晴,商业区,3483.7,大型活动安保,无特定目标,0,0,0.000,0.0,1,关闭,88.3,100.4,2427.4,扫描
2025-11-02 16:24:34,MIS-50129,DR-249,30.411175,120.247603,130.7,6685.4,-6.71,7.28,-0.40,9.91,0.83,132.7,20.3,7.8,266.9,晴,水域周边,206.1,应急响应,无人机,0,0,0.000,0.0,0,抓拍,37.3,326.9,160.0,追踪
2025-09-17 17:08:21,MIS-75552,DR-207,30.245456,120.066050,359.5,2720.6,3.44,-1.29,1.77,4.08,1.02,339.4,8.8,7.2,337.8,多云,工业园区,5051.3,安防巡查,车辆,1,7,0.633,0.0,1,关闭,22.0,361.7,3371.5,巡逻
2025-08-16 23:25:49,MIS-13699,DR-363,30.321193,120.272702,349.5,2724.2,13.17,-7.84,1.83,15.43,0.03,329.2,29.1,10.8,349.3,晴,水域周边,5846.2,大型活动安保,人员,1,14,0.741,0.0,1,抓拍,29.5,207.2,2932.6,巡逻
2025-03-13 01:53:26,MIS-59195,DR-612,30.119466,120.315992,345.4,3011.2,-4.98,6.08,0.53,7.88,4.54,129.4,16.6,10.9,19.8,多云,城市核心区,5859.7,环境监测,人员,1,10,0.695,0.0,0,关闭,61.4,136.9,2504.3,追踪
2025-05-11 01:11:07,MIS-12609,DR-538,30.297092,120.230193,201.4,342.1,4.42,-0.05,2.17,4.92,1.10,359.3,32.1,8.3,323.8,晴,水域周边,5801.0,安防巡查,建筑物,0,0,0.000,266.3,0,抓拍,25.1,195.6,1564.4,追踪
2025-08-22 05:12:02,MIS-45317,DR-637,30.074668,120.231480,221.9,1552.5,-12.26,-16.35,0.00,20.44,1.12,233.1,17.7,1.9,220.6,雾,居民区,8073.7,基础设施巡检,人员,0,0,0.000,0.0,0,抓拍,20.0,249.5,2756.4,悬停
2025-06-05 15:08:12,MIS-37738,DR-347,30.437579,120.010016,99.1,3229.2,8.14,1.33,-0.16,8.25,4.62,9.3,5.6,16.0,307.0,晴,工业园区,3041.8,环境监测,无特定目标,0,0,0.000,0.0,1,关闭,42.5,103.5,856.3,巡逻
2025-11-14 12:35:12,MIS-61129,DR-178,30.442652,120.123620,36.2,1113.8,1.77,-2.08,-3.29,4.28,0.63,310.5,14.8,15.5,198.6,晴,商业区,5208.7,环境监测,建筑物,1,1,0.641,0.0,0,关闭,69.8,307.6,2823.0,巡逻
2025-07-06 13:08:56,MIS-72280,DR-243,30.383111,119.902392,319.8,690.5,4.41,0.91,-3.40,5.64,3.31,11.6,-2.4,2.7,166.1,多云,工业园区,6683.5,环境监测,水域,0,0,0.000,0.0,0,连续录像,80.6,169.5,566.2,扫描
2025-05-11 21:25:22,MIS-40002,DR-934,30.027394,120.147575,61.9,1997.4,4.95,0.99,1.91,5.40,0.00,11.4,33.1,16.1,230.7,雾,居民区,9161.6,基础设施巡检,建筑物,1,4,0.930,0.0,1,抓拍,38.2,344.6,2893.7,追踪
2025-01-21 09:05:24,MIS-34073,DR-724,30.146538,120.287048,298.7,7652.5,-7.89,-1.71,-0.43,8.09,3.61,192.3,13.4,8.7,235.3,雾,近郊区,1633.6,安防巡查,建筑物,0,0,0.000,0.0,0,关闭,24.5,117.4,711.4,巡逻
2025-12-20 03:17:07,MIS-19645,DR-469,30.025551,120.014683,69.4,3286.0,-4.70,-7.01,-1.25,8.54,2.77,236.2,0.1,9.6,351.1,晴,居民区,7992.5,大型活动安保,无人机,0,0,0.000,0.0,1,连续录像,10.5,343.6,2252.4,待命
2025-08-27 12:52:59,MIS-57024,DR-790,30.081133,120.306983,167.2,3322.9,0.05,0.74,-2.35,2.46,0.42,86.4,18.1,7.6,279.9,多云,交通枢纽,3055.8,安防巡查,人员,0,0,0.000,0.0,1,关闭,70.7,300.0,3157.6,悬停
2025-09-26 21:21:01,MIS-97239,DR-248,30.138651,120.296100,96.0,1695.7,7.17,2.83,0.15,7.71,4.00,21.6,36.8,3.1,17.0,小雨,交通枢纽,627.3,基础设施巡检,车辆,1,13,0.877,0.0,1,连续录像,18.1,65.0,1953.7,悬停
2025-01-07 21:02:09,MIS-94387,DR-637,30.044375,120.221267,338.2,6377.4,8.20,-7.42,-0.48,11.07,3.29,317.9,36.9,11.8,37.4,晴,工业园区,1522.4,大型活动安保,车辆,0,0,0.000,0.0,1,关闭,47.9,142.1,1514.8,巡逻
