地区,年份,各省低空经济指数,全国通用航空机场数量（个）,飞行服务站数量（个）,通航企业总收入与 GDP 的比值（%）,低空经济领域上市公司总产值与GDP的比值（%）,低空经济产业增加值与 GDP 的比值（%）,持有有效运营合格证的无人机企业数量（个）,传统通航企业数量（个）,全行业注册无人机数量（个）,无人机行业专利申请数量（个）,通航企业的专业人员数量与就业人员总数的比值（%）
北京市,2024,0.59102736,7,3,1.105457574,0.141973637,1.270147348,3244,344,37674,11621,0.049575375
上海市,2024,0.58585296,8,2,1.005675191,0.14140147,1.388676564,3362,542,56920,8096,0.046424662
广东省,2024,0.56944272,13,1,0.956549881,0.119309639,1.404188803,2465,348,62436,10415,0.043082409
辽宁省,2024,0.5133744,10,5,0.903333594,0.111314971,1.135301817,2508,442,52660,7821,0.040928407
浙江省,2024,0.51289392,10,3,0.890059012,0.112310946,1.275695403,2240,332,30998,7565,0.038005439
江苏省,2024,0.49385952,7,0,0.887547867,0.113392615,1.073156737,2527,322,49458,7556,0.038595121
山东省,2024,0.48498912,12,1,0.93953709,0.116700507,1.174522401,2008,295,31512,8077,0.036403976
山西省,2024,0.404712,8,2,0.800250528,0.084337934,0.836398055,1786,268,30169,5466,0.032472935
吉林省,2024,0.40312272,7,1,0.801905152,0.092355415,0.899165227,1866,241,32276,4345,0.032874658
安徽省,2024,0.39432624,7,2,0.683551393,0.087526624,0.846756451,2139,362,40001,6124,0.033732357
四川省,2024,0.3915912,10,1,0.681447006,0.084971374,0.908413266,2271,383,37419,5032,0.031316108
海南省,2024,0.38837568,14,3,0.648807465,0.084093044,0.862252266,1610,358,25533,4595,0.033246068
重庆市,2024,0.3869712,14,2,0.710182445,0.087966293,0.855535278,2193,367,40799,7320,0.031357382
湖南省,2024,0.38405136,4,2,0.7253322,0.088045695,0.955519784,2219,308,25036,7530,0.028103233
湖北省,2024,0.38175984,7,1,0.710556865,0.078193959,0.866022197,1630,287,36802,7558,0.030841287
河南省,2024,0.38065104,14,0,0.738247315,0.087816195,0.876106434,1611,207,44061,7339,0.029180709
江西省,2024,0.37562448,11,0,0.716704029,0.086029275,0.76567294,1964,273,29610,7236,0.03107595
黑龙江省,2024,0.37558752,5,3,0.716545871,0.086687478,0.833729177,1621,310,43234,5385,0.02714532
天津市,2024,0.37414608,10,2,0.741283157,0.081838843,0.79506042,1599,324,33819,6080,0.027812416
福建省,2024,0.3736656,8,4,0.707809835,0.080226004,0.817300084,1706,266,26536,4085,0.027701432
河北省,2024,0.37004352,9,2,0.729861504,0.083000762,0.790116924,1572,344,28994,7128,0.029581808
贵州省,2024,0.27549984,7,1,0.517838683,0.068554003,0.623621438,1230,166,22234,3034,0.022234018
宁夏回族自治区,2024,0.27087984,5,3,0.49889746,0.057956096,0.596071088,1092,253,21192,4012,0.020714955
青海省,2024,0.26892096,8,2,0.504038555,0.065823783,0.669935896,1302,137,24146,5215,0.022844067
