省份,重点城市,产业规模(亿元),统计年份,相关企业数量,通用机场数量,运输机场数量,无人机起降点数量,常态化航线数,空域开放真高,是否国家级试点,数据来源
广东,深圳,3200,2025,15200,76,12,1420,386,300米,是,圆象科技
广东,广州,2560,2025,4217,9,3,45,128,300米,是,南都新闻
广东,珠海,860,2025,1128,6,1,120,56,300米,是,珠海市发改委
江苏,苏州,480,2025,1300,22,9,890,167,300米,是,江苏省发改委
江苏,南京,390,2025,876,4,1,210,72,300米,是,南京市交通运输局
浙江,杭州,435.57,2025,2456,25,7,312,113,300米,是,杭州市交通运输局
浙江,宁波,218,2025,562,3,1,87,42,300米,是,宁波市发改委
浙江,绍兴,126,2025,341,2,0,63,28,230米,是,绍兴市交通运输局
北京,北京,620,2024,132高新企业,8,2,156,64,300米,是,新浪财经
上海,上海,540,2024,eVTOL企业占全国50%,6,2,98,45,300米,是,上海市经信委
安徽,合肥,550,2025,300,6,4,100,52,300米,是,央视网
四川,成都,410,2025,780,15,15,230,89,300米,是,民航西南局
山东,青岛,370,2025,无人机企业全国第三,18,12,340,76,300米,是,山东省交通运输厅
湖北,武汉,290,2025,420,9,7,180,58,300米,是,湖北省发改委
海南,海口,260,2024,210,7,4,120,42,300米,是,海南省发改委
陕西,西安,245,2025,356,11,5,95,36,300米,是,陕西省交通运输厅
福建,厦门,230,2025,298,5,3,110,38,300米,是,厦门市发改委
江西,赣州,180,2025,176,5,1,72,24,300米,是,交通运输部
辽宁,大连,165,2025,142,3,1,58,21,300米,是,交通运输部
湖南,长沙,195,2025,267,7,5,86,32,300米,是,湖南省发改委
河南,郑州,178,2025,203,6,4,79,27,300米,是,河南省发改委
重庆,重庆,210,2025,312,4,3,92,35,300米,是,重庆市经信委
天津,天津,155,2025,189,3,1,64,22,300米,是,天津市交通运输委
河北,石家庄,142,2025,165,5,3,57,19,300米,否,河北省发改委
山西,太原,118,2025,134,4,2,48,16,300米,否,山西省发改委
云南,昆明,168,2025,201,8,5,76,29,300米,是,云南省交通运输厅
贵州,贵阳,125,2025,147,6,3,52,18,300米,否,贵州省发改委
广西,南宁,136,2025,158,7,3,61,20,300米,否,广西壮族自治区发改委
甘肃,兰州,92,2025,96,5,2,38,14,300米,否,甘肃省发改委
黑龙江,哈尔滨,105,2025,112,6,4,45,17,300米,否,黑龙江省发改委
吉林,长春,89,2025,98,4,2,36,13,300米,否,吉林省发改委
内蒙古,呼和浩特,97,2025,104,8,4,42,15,300米,否,内蒙古自治区发改委
新疆,乌鲁木齐,112,2025,121,12,7,55,21,300米,否,新疆维吾尔自治区发改委
西藏,拉萨,68,2025,57,3,1,24,9,300米,否,西藏自治区发改委
青海,西宁,73,2025,64,4,1,28,11,300米,否,青海省发改委
宁夏,银川,81,2025,76,3,1,32,12,300米,否,宁夏回族自治区发改委
海南,三亚,195,2025,186,3,1,88,35,300米,是,三亚市发改委
