alert_id,flight_plan_id,aircraft_id,city,city_code,route_id,timestamp,alert_type,severity,lat,lon,altitude_m,detection_source,confidence,disposal_status,response_time_min,closed_loop,data_nature,source_basis
AL0000001,FP005154,UAV00328,厦门,350200,RT_350200_001,2026-02-13 23:35:31,通信链路弱,中,24.4181147,117.8380221,25.54,射频,0.83,已闭环,28.2,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000002,FP005889,UAV00249,珠海,440400,RT_440400_023,2026-02-09 12:44:06,疑似黑飞目标,严重,22.341215,113.3596504,81.76,5G-A通感,0.654,处理中,3.3,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000003,FP000419,UAV00496,北京,110000,RT_110000_023,2026-04-20 19:22:08,气象风险,中,40.0059894,116.4437621,88.18,无人机云系统,0.583,已闭环,6.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000004,FP007148,UAV00465,成都,510100,RT_510100_044,2026-02-08 01:18:35,人群密集区飞越,高,30.4494846,103.9159411,55.95,光电,0.586,已闭环,4.6,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000005,FP002456,UAV02626,南通,320600,RT_320600_023,2026-01-05 12:05:57,超高风险,严重,32.1213189,120.9849757,23.13,无人机云系统,0.498,处理中,5.2,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000006,FP007939,UAV02625,杭州,330100,RT_330100_018,2026-05-06 01:58:16,速度异常,中,30.1791395,120.1928421,165.68,无人机云系统,0.74,误报,27.8,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000007,FP003342,UAV01527,上海,310000,RT_310000_038,2026-03-11 06:46:31,电子围栏越界,高,31.1859858,121.5278289,48.61,5G-A通感,0.928,处理中,5.0,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000008,FP001966,UAV02199,成都,510100,RT_510100_039,2026-02-09 11:28:55,速度异常,中,30.6865519,104.019334,69.96,无人机云系统,0.604,已闭环,14.2,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000009,FP002393,UAV00221,武汉,420100,RT_420100_013,2026-04-21 08:53:28,电子围栏越界,高,30.6441167,114.1252766,7.52,光电,0.87,已闭环,26.4,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000010,FP005488,UAV02100,上海,310000,RT_310000_009,2026-03-01 15:04:14,通信链路弱,中,31.1042667,121.5424795,29.62,射频,0.76,已闭环,8.3,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000011,FP003028,UAV01034,南京,320100,RT_320100_055,2026-05-03 04:06:57,超高风险,严重,32.1944422,118.6284112,57.4,光电,0.692,已闭环,9.0,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000012,FP004825,UAV01597,深圳,440300,RT_440300_057,2026-04-25 01:30:20,超高风险,严重,22.6035482,114.1935205,123.05,融合识别,0.712,已闭环,9.9,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000013,FP007894,UAV01064,郑州,410100,RT_410100_023,2026-05-31 10:40:06,通信链路弱,中,34.6473068,113.6532022,61.86,无人机云系统,0.633,已闭环,1.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000014,FP004314,UAV00831,青岛,370200,RT_370200_059,2026-02-28 12:35:02,气象风险,中,36.2325125,120.3148841,13.76,无人机云系统,0.889,待核查,7.0,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
