sample_id,grid_id,city,city_code,timestamp_hour,airspace_class,population_density_index,flight_density_index,sensor_coverage_score,communication_quality_score,wind_speed_mps,rainfall_mm_h,visibility_km,historical_alert_count_24h,computed_risk_score,risk_event_label,data_nature,source_basis
MF0000001,330100_G0337,杭州,330100,2026-06-07 16:00:00,适飞空域,1936.18,5.83,0.8,0.515,2.57,0.44,5.92,0,5.05,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000002,320600_G0029,南通,320600,2026-06-07 15:00:00,管制空域,650.59,2.68,0.756,0.818,7.93,0.75,7.68,1,51.76,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000003,441900_G0353,东莞,441900,2026-06-02 02:00:00,适飞空域,2581.65,8.88,0.733,0.928,6.09,0.08,5.54,1,29.91,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000004,500000_G0459,重庆,500000,2026-06-02 10:00:00,管制空域,1321.45,20.34,0.904,0.556,3.15,0.1,2.26,1,53.32,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000005,440300_G0005,深圳,440300,2026-06-01 10:00:00,管制空域,3966.56,8.14,0.784,0.93,2.99,0.3,9.34,4,65.49,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000006,320500_G0415,苏州,320500,2026-06-03 20:00:00,机场净空保护区,702.34,24.0,0.614,0.727,3.25,0.29,5.69,4,87.03,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000007,510100_G0287,成都,510100,2026-06-05 01:00:00,机场净空保护区,89.93,26.58,0.847,0.823,4.05,0.3,6.03,2,71.04,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000008,440300_G0169,深圳,440300,2026-06-02 05:00:00,适飞空域,3272.1,14.96,0.786,0.534,2.11,0.01,6.98,2,20.98,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000009,320600_G0192,南通,320600,2026-06-03 00:00:00,管制空域,1124.9,13.55,0.941,0.561,3.87,1.16,11.11,5,57.21,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000010,350200_G0130,厦门,350200,2026-06-06 16:00:00,适飞空域,2982.48,10.6,0.498,0.76,0.63,0.12,5.12,1,9.69,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000011,310000_G0076,上海,310000,2026-06-06 05:00:00,文旅体验区,777.7,15.18,0.925,0.663,2.92,0.71,6.49,0,22.87,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000012,370200_G0138,青岛,370200,2026-06-02 18:00:00,管制空域,1519.44,18.79,0.724,0.911,6.46,0.89,10.62,1,48.75,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000013,310000_G0167,上海,310000,2026-06-04 17:00:00,敏感目标保护区,2503.78,5.15,0.359,0.692,5.93,0.34,4.58,4,81.14,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000014,420100_G0103,武汉,420100,2026-06-02 11:00:00,适飞空域,3541.23,12.89,0.686,0.446,9.66,0.54,7.86,2,29.16,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000015,440100_G0021,广州,440100,2026-06-04 14:00:00,适飞空域,6422.32,12.11,0.598,0.86,3.04,2.29,10.23,0,33.19,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000016,441900_G0301,东莞,441900,2026-06-04 04:00:00,适飞空域,4168.68,0.0,0.719,0.737,3.48,0.01,11.87,0,17.88,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000017,320100_G0101,南京,320100,2026-06-07 16:00:00,适飞空域,2466.0,56.9,0.335,0.865,1.9,0.35,5.22,1,29.88,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000018,320500_G0195,苏州,320500,2026-06-06 15:00:00,禁飞区,848.32,21.87,0.599,0.807,6.6,1.98,5.52,3,84.57,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
