route_id,origin_lat,origin_lon,dest_lat,dest_lon,waypoint_count,route_length_km,avg_altitude_m,max_altitude_m,uav_model,max_range_km,max_speed_ms,payload_capacity_kg,battery_capacity_kwh,energy_consumption_kwh_per_km,delivery_time_min,energy_consumed_kwh,restricted_zone_crossings,constraint_violation,optimization_target_met,delivery_priority,airspace_density,weather_risk_score
RT-00001,30.336691,120.334964,30.195844,120.257435,12,17.36,56.1,129.1,ZTO UAV,45.5,14.9,29.6,2.03,0.170,102.2,2.95,2,0,0,加急,6.3,0.185
RT-00002,30.175708,120.134415,30.353518,120.219805,12,21.43,137.0,206.8,EHang Falcon,42.5,11.1,16.2,4.27,0.296,168.9,6.35,5,1,0,医疗物资,10.0,0.798
RT-00003,30.058073,120.100910,30.307566,120.066790,15,27.97,53.4,131.6,SF UAS,42.7,20.5,20.8,8.06,0.149,120.4,4.17,4,1,0,医疗物资,31.4,0.454
RT-00004,30.203836,119.954582,30.111803,120.117136,14,18.70,82.3,144.3,ZTO UAV,41.1,18.1,10.0,8.04,0.085,89.5,1.59,1,0,0,紧急,43.2,0.300
RT-00005,30.237159,120.264604,30.004239,120.223919,2,26.22,91.2,188.6,Meituan UAV,23.6,11.9,2.7,5.43,0.107,190.6,2.80,0,0,0,普通,36.7,0.416
RT-00006,30.305734,119.930602,30.397886,119.922443,14,10.29,50.0,87.0,Meituan UAV,38.9,10.3,26.3,9.56,0.114,87.0,1.17,0,0,0,加急,43.9,0.853
RT-00007,30.277563,120.141801,30.319747,119.910197,14,22.75,179.3,237.3,DJI FlyCart 30,33.1,12.5,14.9,4.47,0.212,157.4,4.83,3,0,0,紧急,1.5,0.990
RT-00008,30.234423,120.272780,30.206264,120.118677,10,15.15,62.2,110.7,SF UAS,14.7,18.5,3.4,3.74,0.296,72.0,4.49,1,0,0,普通,13.7,0.843
RT-00009,30.311735,119.916511,30.102665,119.911225,12,23.28,72.0,128.9,DJI FlyCart 30,36.4,16.7,24.2,2.51,0.294,120.0,6.84,1,0,0,加急,38.2,0.579
RT-00010,30.050549,120.011887,30.395894,120.119835,13,39.82,164.6,181.6,Meituan UAV,45.6,23.1,22.9,4.26,0.066,148.0,2.62,2,0,0,医疗物资,2.1,0.732
RT-00011,30.300204,119.937015,30.260193,120.206211,15,26.26,142.3,182.9,Meituan UAV,44.4,24.7,12.5,4.95,0.282,93.1,7.40,4,1,0,医疗物资,3.6,0.438
RT-00012,30.305172,119.972357,30.439872,119.927561,11,15.60,67.9,158.7,EHang Falcon,44.2,19.8,3.1,4.20,0.297,72.3,4.63,4,1,0,加急,3.2,0.497
RT-00013,30.248614,120.203039,30.284915,120.100195,6,10.68,105.6,192.4,ZTO UAV,25.5,12.6,12.9,1.44,0.287,75.3,3.07,0,0,0,医疗物资,36.6,0.878
RT-00014,30.338785,120.032039,30.190688,120.298012,7,30.43,148.8,224.7,ZTO UAV,20.2,12.2,28.2,7.75,0.161,214.8,4.91,4,1,0,紧急,42.2,0.289
RT-00015,30.201452,120.295642,30.013265,119.940222,11,40.13,154.2,245.6,ZTO UAV,23.6,10.1,12.2,6.69,0.053,343.3,2.11,1,0,0,普通,47.5,0.878
RT-00016,30.426651,120.202448,30.443348,120.148133,11,5.53,159.6,160.5,EHang Falcon,29.3,19.7,24.5,8.44,0.227,26.4,1.25,4,1,0,普通,38.4,0.429
RT-00017,30.412207,120.129444,30.355748,120.335703,8,20.78,56.7,151.6,Meituan UAV,27.8,11.2,20.0,5.87,0.086,164.5,1.78,3,0,0,加急,34.8,0.913
RT-00018,30.148437,120.126583,30.270108,120.264220,4,18.94,142.0,203.4,EHang Falcon,10.8,11.1,23.7,2.43,0.078,149.8,1.48,1,0,0,紧急,27.1,0.174
RT-00019,30.326418,119.942306,30.243605,119.972114,4,9.65,99.9,156.5,EHang Falcon,36.7,12.2,6.7,9.72,0.286,69.0,2.76,1,0,0,医疗物资,41.1,0.963
RT-00020,30.377113,120.335055,30.085963,119.906185,14,52.46,89.6,163.0,DJI FlyCart 30,28.1,20.1,2.4,2.15,0.101,226.3,5.29,4,1,0,加急,2.8,0.250
RT-00021,30.370685,119.938477,30.176849,120.002000,11,22.43,117.9,192.1,ZTO UAV,17.0,12.9,23.0,7.70,0.246,151.3,5.51,0,0,0,紧急,49.7,0.569
RT-00022,30.210182,119.927124,30.254880,120.280804,8,34.38,51.4,109.5,EHang Falcon,47.4,22.5,6.4,2.29,0.296,135.6,10.19,5,1,0,加急,34.9,0.954
RT-00023,30.254327,120.076342,30.231864,120.201929,5,12.33,51.6,92.8,ZTO UAV,15.5,17.4,15.0,9.57,0.132,63.8,1.62,5,1,0,紧急,4.6,0.339
