地区,年份,各省低空经济指数,全国通用航空机场数量（个）,飞行服务站数量（个）,通航企业总收入与 GDP 的比值（%）,低空经济领域上市公司总产值与GDP的比值（%）,低空经济产业增加值与 GDP 的比值（%）,持有有效运营合格证的无人机企业数量（个）,传统通航企业数量（个）,全行业注册无人机数量（个）,无人机行业专利申请数量（个）,通航企业的专业人员数量与就业人员总数的比值（%）
北京市,1990,0.13293,3,1,0.2623152,0.027314456,0.312751058,649,20,9568,1421,0.011302658
北京市,1991,0.14540064,3,1,0.261643605,0.03362099,0.327376811,793,19,12862,2347,0.011094069
北京市,1992,0.1560384,4,1,0.282387894,0.03738602,0.327524602,714,28,15955,2473,0.012494886
北京市,1993,0.17030832,4,1,0.339271204,0.039796797,0.352086905,825,21,13371,3038,0.013410077
北京市,1994,0.18264456,4,1,0.333362851,0.045446533,0.387617417,851,20,12250,3088,0.013559532
北京市,1995,0.1949598,4,1,0.359011973,0.043366858,0.4289603,1078,29,14902,3759,0.015743004
北京市,1996,0.20164032,4,1,0.353233513,0.042629788,0.424231069,889,21,17417,3868,0.014688057
北京市,1997,0.22428168,4,1,0.421978505,0.053183915,0.516789847,1078,27,16031,2929,0.017950224
北京市,1998,0.23928912,4,1,0.427513942,0.048993251,0.511528352,1208,42,19899,2592,0.018115554
北京市,1999,0.24377304,5,1,0.411326376,0.052637913,0.586907971,1223,28,24487,4801,0.018902858
北京市,2000,0.2569056,5,1,0.499475868,0.062917466,0.516200422,1354,38,25110,3739,0.021592182
北京市,2001,0.27567792,5,1,0.516969614,0.066366702,0.556373178,1313,36,21779,3672,0.019889768
北京市,2002,0.28076664,5,1,0.492885837,0.060833708,0.597934675,1123,34,30159,3058,0.023580788
北京市,2003,0.29667792,5,1,0.544255644,0.074166513,0.729456836,1446,44,19691,5304,0.021539241
北京市,2004,0.30957696,5,1,0.517375335,0.074600308,0.728419108,1381,55,18667,5757,0.022254603
北京市,2005,0.332367,5,1,0.606946458,0.081183963,0.737472518,1826,66,36077,3499,0.026592684
北京市,2006,0.33517848,5,1,0.644402973,0.072046614,0.83405813,1952,44,25392,3866,0.025281076
北京市,2007,0.35333172,5,1,0.698242367,0.076211885,0.745953927,1679,55,41344,4348,0.029565789
北京市,2008,0.3550344,6,1,0.688636557,0.074214616,0.765312153,2122,44,30021,4808,0.026518027
北京市,2009,0.38698296,6,1,0.733010223,0.089460786,0.913279786,1805,72,42226,7379,0.030600954
北京市,2010,0.3794112,6,1,0.71669511,0.092141907,0.76185769,2195,74,23225,4268,0.029506809
北京市,2011,0.41437452,6,1,0.764880114,0.088622279,0.85151892,2449,49,48323,6941,0.033292033
北京市,2012,0.4187904,6,1,0.822280991,0.084767365,0.943953562,1852,72,36621,4368,0.029974025
北京市,2013,0.42713748,6,1,0.754082745,0.08941696,1.003709007,2562,72,39972,5726,0.034266799
北京市,2014,0.43691088,6,1,0.83327643,0.10096792,1.046663704,2374,60,37985,6501,0.032988644
北京市,2015,0.4691946,6,1,0.789982948,0.106898952,0.981789701,2648,115,28867,8667,0.039356713
北京市,2016,0.4693248,6,1,0.879827558,0.099140171,1.051123288,2317,115,55508,5278,0.037171865
北京市,2017,0.46626216,7,1,0.866423888,0.10687195,1.016428196,2068,71,48281,7823,0.038310763
北京市,2018,0.5006652,7,2,0.912779415,0.122447688,1.122916944,2073,275,42756,7032,0.036464162
北京市,2019,0.5063058,7,2,1.006350285,0.104643283,1.209589871,2523,396,31548,8446,0.042294617
北京市,2020,0.5233872,7,2,0.888816143,0.125154964,1.284523036,2916,412,45833,8820,0.038172872
北京市,2021,0.5391582,7,2,1.035453323,0.108009562,1.282522568,2240,305,33317,5612,0.045323179
北京市,2022,0.54017208,7,2,0.92781757,0.11335241,1.185434638,2213,356,52207,5915,0.044983216
北京市,2023,0.55259988,7,2,0.993703524,0.130991039,1.237989511,2677,477,50427,7962,0.042348097
北京市,2024,0.59102736,7,3,1.105457574,0.141973637,1.270147348,3244,344,37674,11621,0.049575375
天津市,1990,0.0922992,3,0,0.184041528,0.018768119,0.19038556,487,10,7740,969,0.007289395
天津市,1991,0.10135356,3,0,0.18374049,0.02224812,0.246603347,421,17,9139,1933,0.008020686
天津市,1992,0.10845072,3,0,0.189647774,0.022607095,0.223858554,576,14,8839,1550,0.008826804
天津市,1993,0.11118744,4,0,0.201864504,0.024613564,0.258772088,453,21,10104,1318,0.00923364
天津市,1994,0.11858784,4,0,0.212525221,0.028794906,0.279677562,531,17,7564,1288,0.00906909
天津市,1995,0.1308762,4,0,0.259601668,0.028792764,0.301852868,629,17,12082,2033,0.010268921
天津市,1996,0.14337792,4,0,0.273330887,0.035098198,0.331260346,650,16,9416,1541,0.010703162
天津市,1997,0.14789796,4,0,0.292995719,0.033479661,0.307309776,652,21,17313,2943,0.011671684
天津市,1998,0.15243984,4,0,0.299310545,0.037564988,0.37708281,724,28,16141,2252,0.012451068
天津市,1999,0.16655856,4,0,0.313074573,0.037850433,0.356402007,913,26,13871,3104,0.013711577
天津市,2000,0.17472,4,1,0.307349952,0.041175389,0.377622336,923,34,19358,2242,0.013389043
天津市,2001,0.18081,4,1,0.352657851,0.044551584,0.368364213,1042,20,19126,2252,0.013906872
天津市,2002,0.19039944,5,1,0.363789863,0.04230866,0.45894833,821,30,13898,2402,0.015002932
天津市,2003,0.19903464,5,1,0.369985492,0.049026213,0.408050867,881,24,17992,2255,0.016849135
天津市,2004,0.2095632,6,1,0.364388492,0.0429154,0.506231344,958,30,13341,2450,0.016656682
天津市,2005,0.220206,6,1,0.391834556,0.053183052,0.499702466,1296,38,14802,3549,0.018591363
天津市,2006,0.23545704,7,1,0.407615379,0.048845563,0.588277642,1039,26,18611,4214,0.019540243
天津市,2007,0.23659776,8,1,0.456263007,0.057091039,0.544494255,1059,28,25710,2780,0.018555686
天津市,2008,0.23809296,8,1,0.450932193,0.057093501,0.515185547,1039,36,22615,3171,0.017546091
天津市,2009,0.26411112,8,1,0.510931765,0.061998765,0.552428024,1344,28,17346,3933,0.01900355
天津市,2010,0.2710764,8,1,0.452399404,0.066482842,0.563676266,1539,36,23242,4599,0.022074139
天津市,2011,0.26396748,8,1,0.458731486,0.064352632,0.534692527,1543,51,23131,2950,0.020493304
天津市,2012,0.27651456,8,1,0.545802873,0.066573645,0.67591219,1580,54,31559,2910,0.020530021
天津市,2013,0.28268856,8,1,0.524189397,0.0605109,0.636374352,1619,52,25601,5539,0.022969253
天津市,2014,0.30527784,9,1,0.561863865,0.063937391,0.690233196,1615,45,28779,4294,0.02420548
天津市,2015,0.3055836,9,1,0.571777474,0.074550175,0.654529513,1587,62,25920,5271,0.024731317
